Day,Date,Championship,Round,Venue,Region,Format,Weather (est.),Cars,Laps,Price,Attendance
11,11 Jan (Sun),Non-championship,New Year Meet,"Sixfields Leisure Park, Northampton",Midlands,Static meet,"Cold, overcast, 3-6C, frost likely","40-60","N/A",Free,"120-180"
80,21 Mar (Sat),South & Wales Trophy,Round 1,"Anglesey Circuit (Trac Mon)",Wales,Closed timed sprint,"Cool, breezy, 6-10C, coastal showers likely","20-25","N/A - timed sprint","150-170 per driver","Closed day, no public gate"
95,5 Apr (Sun),Central England Trophy,Round 1,"Silverstone National Circuit",Midlands,Race,"Cool, sunny intervals, 9-13C, breezy","15-20","~10 laps (est.)","16-20","1000-1500"
101,11-12 Apr (Sat-Sun),North & Scotland Trophy,Round 1,"Croft Circuit",North England,Race,"Cool, changeable, 7-11C, showers likely","15-20","~9-10 laps (est.)","18-20","1500-2500"
108,18 Apr (Sat),Central England Trophy,Round 2,"Mallory Park",Midlands (home track),Race,"Mild, 10-14C, sunny spells, light breeze","15-20","~14 laps (est.)","15-18","1500-2500"
109,19 Apr (Sun),Non-championship,Japfest Silverstone,"Silverstone Circuit",Midlands,Show/parade,"Sunny (real, as reported)","3500+ show cars","N/A - parade/demo laps","32 adult / 5 child","20000-25000"
115,25 Apr (Sat),North & Scotland Trophy,Round 2,"Aintree Circuit",North England,Closed timed sprint,"Mild, 10-14C, sunny spells, breeze off the Mersey","20-25","N/A - timed sprint","140-160 per driver","Closed day, no public gate"
124,4 May (Mon - Bank Hol),North & Scotland Trophy,Round 3,"Cadwell Park",North Midlands,Race,"Mild, 12-16C, sunny intervals, breezy on the Mountain","15-20","~9 laps (est.)","20-24","1500-3000"
129,9 May (Sat),Central England Trophy,Round 3,"Rockingham (Corby) - infield road course only",Midlands,Closed timed sprint,"Mild, 11-15C, breezy","20-25","N/A - timed sprint","150-170 per driver","Closed day, no public gate"
142,22-24 May (Fri-Sun),South & Wales Trophy,Round 2,"Pembrey Circuit",South Wales,Race,"Mild, 12-16C, Atlantic-influenced, showers likely","15-20","~13 laps (est.)","18-20","1000-2000"
145,25 May (Mon - Bank Hol),North & Scotland Trophy,Round 4,"Donington Park National",East Midlands,Race,"Mild-warm, 15-19C, mostly dry","15-20","~12 laps (est.)","20-24","2000-3500"
164,13-14 Jun (Sat-Sun),South & Wales Trophy,Round 3,"Mondello Park, Co. Kildare",Ireland (optional overseas leg),Closed timed sprint,"Mild, 13-17C, typically wetter than mainland UK","20-25","N/A - timed sprint","180-220 per driver incl ferry","Closed day, no public gate"
185,4 Jul (Sat),North & Scotland Trophy,Round 5,"Oulton Park",Cheshire,Race,"Warm, 17-21C, some cloud","15-20","~8 laps (est.)","20-24","2000-3500"
199,18 Jul (Sat),Central England Trophy,Round 4,"Bedford Autodrome",Bedfordshire,Closed timed sprint,"Warm, 18-22C, changeable","20-25","N/A - timed sprint","160-180 per driver","Closed day, no public spectators"
214,2 Aug (Sun),Central England Trophy,Round 5,"Snetterton 300",Norfolk,Race,"Warm, 19-23C, mostly dry, isolated storm risk","15-20","~7 laps (est.)","20-24","2000-3500"
227,15 Aug (Sat),South & Wales Trophy,Round 4,"Thruxton",Hampshire,Race,"Warm, 18-22C, exposed/windy","15-20","~12 laps (est.)","20-24","2000-3000"
243,31 Aug (Mon - Bank Hol),Central England Trophy,Round 6 - FINALE,"Brands Hatch Indy Circuit",Kent,Race,"Warm, changeable, 18-22C, unsettled possible","15-20","~16 laps (est.)","22-26","2500-4000"
246,3-6 Sep (Thu-Sun),Non-championship,JAE (Japanese Auto Extravaganza),"Camping showground venue",Various,Show,"Mild, 15-19C, changeable","~3000 Japanese cars","N/A - show and shine","45 weekend / 20 day (est.)","5000-8000"
269,26 Sep (Sat),North & Scotland Trophy,Round 6 - FINALE,"Knockhill",Scotland,Race (day & night),"Cool, 9-13C, damp, dark early evening","15-20","~14 laps day / ~14 laps night (est.)","24-28","2500-4000"
276,3 Oct (Sat),South & Wales Trophy,Round 5,"Goodwood Circuit",West Sussex,Fringe timed sprint (alongside real Japfest Goodwood),"Mild, 13-17C, chance of rain, autumnal","15-20 in fringe sprint","N/A - timed sprint","28-32 (real Japfest gate)","10000-15000 (real Japfest crowd)"
290,17 Oct (Sat),South & Wales Trophy,Round 6 - FINALE,"Castle Combe",Wiltshire,Race,"Cool, 9-13C, chance of showers, autumnal","15-20","~12 laps (est.)","20-24","2500-3500"
318,14 Nov (Sat),Non-championship,Season Awards Night (all 3 trophies),"Mercure Hotel, Daventry",Midlands,Indoor gala dinner,"Indoor; cold dry evening typical, 4-8C outside","N/A","N/A","55-65 per head (est.)","~200 (real basis)"
346,12 Dec (Sat),Non-championship,Christmas Close-Season Meet,"Pub car park/venue, Midlands",Midlands,Static meet,"Cold, 2-6C, frost or rain likely","30-40","N/A",Free,"80-100"
