id,type,name,price,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,service_1_interval_days,service_2_interval_days,service_3_interval_days,service_4_interval_days,service_5_interval_days,service_6_interval_days,service_7_interval_days,service_8_interval_days,service_9_interval_days,service_10_interval_days,service_11_interval_days,service_12_interval_days,service_13_interval_days,service_14_interval_days,service_15_interval_days,resale_initial_percent,resale_annual_percent,resale_min_percent,description_html,license_level,license_previous_id,requires_object_ids,license_fee,lifetime_days,availability_days,image_path,requirement_group,paddock_cred_bonus
formula_ford,vehicle,Formula Ford 1600,33480,formula_ford_tires,formula_ford_oil,formula_ford_engine,formula_ford_gearbox,formula_ford_insurance,car_formula_ford_brakes,car_formula_ford_cosmetic,car_formula_ford_bolt_on,car_formula_ford_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/formula_ford.html,0,,,,0,5,,,0
Caterham_320,vehicle,Caterham Seven 320,66960,caterham_320_tires,caterham_320_oil,caterham_320_engine,caterham_320_gearbox,caterham_320_insurance,car_caterham_320_brakes,car_caterham_320_cosmetic,car_caterham_320_bolt_on,car_caterham_320_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/caterham_320.html,0,,,,0,5,,,0
btcc_toca,vehicle,BTCC Super Touring Car (1998),196000,btcc_toca_tires,btcc_toca_oil,btcc_toca_engine,btcc_toca_gearbox,btcc_toca_insurance,car_btcc_toca_brakes,car_btcc_toca_cosmetic,car_btcc_toca_bolt_on,car_btcc_toca_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/btcc_toca.html,0,,,,0,5,,,0
ngt,vehicle,FIA N-GT (2003),239400,ngt_tires,ngt_oil,ngt_engine,ngt_gearbox,ngt_insurance,car_ngt_brakes,car_ngt_cosmetic,car_ngt_bolt_on,car_ngt_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/ngt.html,0,,,,0,5,,,0
gt,vehicle,FIA GT (2004),705600,gt_tires,gt_oil,gt_engine,gt_gearbox,gt_insurance,car_gt_brakes,car_gt_cosmetic,car_gt_bolt_on,car_gt_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/gt.html,0,,,,0,5,,,0
porsche_cup,vehicle,Porsche Cup,148800,porsche_cup_tires,porsche_cup_oil,porsche_cup_engine,porsche_cup_gearbox,porsche_cup_insurance,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/porsche_cup.html,0,,,,0,5,,,0
honda_civic,vehicle,Honda Civic Cup (EG9),14000,honda_civic_cup_tires,honda_civic_cup_oil,honda_civic_cup_engine,honda_civic_cup_gearbox,honda_civic_cup_insurance,car_honda_brakes,car_honda_cosmetic,car_honda_bolt_on,car_honda_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/honda_civic_cup.html,0,,,,0,5,,,0
ford_fiesta_st150,vehicle,Ford Fiesta ST150,10500,ford_fiesta_st150_cup_tires,ford_fiesta_st150_cup_oil,ford_fiesta_st150_cup_engine,ford_fiesta_st150_cup_gearbox,ford_fiesta_st150_cup_insurance,car_ford_fiesta_st150_brakes,car_ford_fiesta_st150_cosmetic,car_ford_fiesta_st150_bolt_on,car_ford_fiesta_st150_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/ford_fiesta_st150.html,0,,,,0,5,,,0
tvr_t400r,vehicle,TVR Tuscan Challenge T400R (2003),135350,tvr_t400r_tires,tvr_t400r_oil,tvr_t400r_engine,tvr_t400r_gearbox,tvr_t400r_insurance,car_tvr_t400r_brakes,car_tvr_t400r_cosmetic,car_tvr_t400r_bolt_on,car_tvr_t400r_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/tvr_t400r.html,0,,,,0,5,,,0
ginetta_gt4,vehicle,Ginetta GT4,102300,ginetta_gt4_tires,ginetta_gt4_oil,ginetta_gt4_engine,ginetta_gt4_gearbox,ginetta_gt4_insurance,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/ginetta_gt4.html,0,,,,0,5,,,0
