id,cost_id,trigger_type,trigger_ref,amount_multiplier,probability,interval_days,charge_mode,resolution_mode,pending_message,message,damage_type,unavailable_days,event_interval,no_event_days
formula_ford_race_tires,formula_ford_tires,event_completed,race,1.0,1.0,0,immediate,object_service,"After this race, your tires are gone! You will need a new set of tires before racing next time",,,0,0,0
formula_ford_race_oil,formula_ford_oil,event_completed,race,1.0,1.0,0,immediate,object_service,"After this race, your engine oil needs changing! You will need fresh oil before racing next time",,,0,0,0
formula_ford_engine_year,formula_ford_engine,day_elapsed,,1.0,1.0,365,immediate,charge,,,,0,0,0
formula_ford_gearbox_year,formula_ford_gearbox,day_elapsed,,1.0,1.0,365,immediate,charge,,,,0,0,0
formula_ford_insurance_year,formula_ford_insurance,day_elapsed,,1.0,1.0,365,immediate,charge,,,,0,0,0
monthly_garage_rent,service_4_id,day_elapsed,,1.0,1.0,30,immediate,charge,,,,0,0,0
cosmetic_fix_daily,cosmetic_fix,day_elapsed,,1.0,0.25,365,immediate,charge,,"A cosmetic issue appeared on {object_id}. A cosmetic fix costing {currency}{amount} was applied.",,0,0,0
bolt_on_repair_daily,bolt_on_repair,day_elapsed,,1.0,0.1,365,immediate,charge,,"A bolt-on repair is needed for {object_id}. The car is unavailable for one day and costs {currency}{amount}.",,1,0,0
factory_rebuild_daily,factory_rebuild,day_elapsed,,1.0,1.0,1,immediate,charge,,"A factory rebuild is needed for {object_id}. The car is unavailable for two weeks and costs {currency}{amount}.",,14,0,7300
cosmetic_fix_race,cosmetic_fix,event_completed,race,1.0,1.0,0,immediate,object_service,"The car needs cosmetic damage repair before it can race again.","The race caused cosmetic damage. Repair it in the garage for {currency}{amount}.",cosmetic_fix,0,3,0
bolt_on_repair_race,bolt_on_repair,event_completed,race,1.0,1.0,0,immediate,object_service,"The car needs bolt-on damage repair before it can race again.","The race caused bolt-on damage. Repair it in the garage for {currency}{amount}.",bolt_on_repair,1,10,0
factory_rebuild_race,factory_rebuild,event_completed,race,1.0,1.0,0,immediate,object_service,"The car needs a major damage rebuild before it can race again.","The race caused major damage. Rebuild it in the garage for {currency}{amount}.",factory_rebuild,14,40,0
